"Viral_contig"	"pvalue"	"R2"	"fdr"
"92"	"SK43_NODE_18"	0.847	-0.0879536908322306	0.997
"93"	"H23_NODE_10"	0.55	-0.0172862439312018	0.997
"94"	"SK02_contig_75_pilon"	0.008	0.0943919179832687	0.598714285714286
"95"	"SK03_contig_221_pilon"	0.81	-0.0628125575917808	0.997
"96"	"NCF004_tig00000001_pilon"	0.741	-0.0877225501779555	0.997
"97"	"NC210_NODE_2"	0.7	-0.0449438114017622	0.997
"98"	"H55_contig-120_17"	0.88	-0.0990254916915854	0.997
"99"	"DC26_NODE_17"	0.92	-0.139011390211121	0.997
"100"	"H34_contig_236_pilon"	0.297	0.015971380972017	0.997
"101"	"H27_NODE_14"	0.944	-0.197143563110959	0.997
"102"	"H01_contig_1168_pilon"	0.592	-0.0359704806638765	0.997
"103"	"A09_contig_266_pilon"	0.38	0.0162388863295522	0.997
"104"	"H19_contig_63_pilon"	0.676	-0.0161246049691774	0.997
"105"	"S02_contig_655_pilon"	0.163	0.0641577707402117	0.95973417721519
"106"	"A13_contig_119_pilon"	0.343	0.0120205807903017	0.997
"107"	"H48_contig_128_pilon"	0.26	0.0209415018818508	0.997
"108"	"SK43_opera_contig_24"	0.763	-0.108184387893396	0.997
"109"	"NC199_contig-120_21"	0.112	0.064266828988163	0.95973417721519
"110"	"H49_contig_167_pilon"	0.211	0.0461049087047139	0.991518072289157
"111"	"DC26_contig_261_pilon"	0.477	-0.00147189895532103	0.997
"112"	"DC26_contig_630_pilon"	0.318	0.0191676629667677	0.997
"113"	"H45_contig-120_7"	0.98	-0.188925093532804	0.997
"114"	"H30_contig-120_9"	0.224	0.0293800010779859	0.997
"115"	"SK05_contig-120_23"	0.087	0.0680731394026888	0.95973417721519
"116"	"A107_NODE_20"	0.592	-0.0376458184501699	0.997
"117"	"QM01_contig_38"	0.108	0.126953699432713	0.95973417721519
"118"	"NCF031_contig-120_34"	0.237	0.11717817513474	0.997
"119"	"NCF031_contig-120_37"	0.765	-0.102376104425575	0.997
"120"	"NCF106_contig-120_10"	0.183	0.0912046077415496	0.95973417721519
"121"	"A13_contig_142_pilon"	0.851	-0.229056297637056	0.997
"122"	"NCF168_contig_38_pilon"	0.806	-0.178188805927198	0.997
"123"	"H34_contig-120_181"	0.661	-0.0288265364785314	0.997
"124"	"H46_NODE_34"	0.152	0.0468775966662957	0.95973417721519
"125"	"H46_contig-120_46"	0.489	-0.0035579869746173	0.997
"126"	"SK20_contig_1570_pilon"	0.869	-0.0678635318327421	0.997
"127"	"H46_NODE_4"	0.736	-0.0770926680938666	0.997
"128"	"H13_contig-120_1"	0.413	0.00726136621270459	0.997
"129"	"H13_NODE_6"	0.114	0.0900377694149157	0.95973417721519
"130"	"DC23_NODE_4"	0.032	0.0820861142377453	0.9525
"131"	"H49_NODE_2"	0.711	-0.0450527485294553	0.997
"132"	"DC23_opera_contig_3"	0.435	0.00260171494156999	0.997
"133"	"NCF044_contig_53_pilon"	0.648	-0.0207306875499631	0.997
"134"	"H13_NODE_18"	0.459	-0.00888453906132998	0.997
"135"	"NC183_NODE_3"	0.392	0.0147156429863207	0.997
