	A01	A02	A08	A09	A107	A11	A13	A16	B03	B13	DC05	DC13	DC16	DC23	DC25	DC26	DC27	H01	H02	H03	H04	H11	H12	H13	H16	H19	H22	H23	H24	H27	H28	H31	H32	H34	H46	H47	H48	H49	H50	H54	H60	H63	H65	H69	H73	NC150	NC151	NC152	NC159	NC173	NC183	NC185	NC201	NC210	NC307	NC308	NC317	NC318	NC326	NCF004	NCF026	NCF041	NCF044	NCF051	NCF055	NCF106	NCF168	NCF171	NN0897	QM01	QM03	QM04	QM07	S02	S05	S08	S11	SK02	SK03	SK08	SK11	SK12	SK14	SK20	SK22	SK27	SK43	SK44	SK51	SK54	SK56
A18_contig-120_171								1.2126251812607831												0.2816870137186974	0.6998959710642623																															0.915970273428248																					0.3429650635254106					0.8105480757548219										0.6367477210981755			0.5217595490803021
A18_contig-120_287										0.4626344756408047						1.1704830007561449															0.2297054883239329		0.5798712878415461										14.365499976881935			0.3738452389946498	0.529037642344951				0.3517474542459379						0.6215976125222364																13.522400073948138																		
A18_contig-120_741																																																																																											
B03_contig-120_0	0.0	0.0010443132724974						0.0003543234493085	0.5800509236404315								0.0															0.0		0.0				0.0007344319592417	0.0					0.0020702573852985		0.0	0.0												0.0		0.0		0.0	0.0					0.0																						
B03_contig-120_1	0.0120748764677407	0.2139601020165445	0.0137900586481151		0.0020218397479366			0.0057730301337708	4.139187305888993					0.0046230122753815			0.0315025000591073									0.1081883445255179		0.104312598240966		0.0220712894857979				0.0047138083286715		0.0015839441979441						0.0114527341843729			0.0055044018990741							0.0014419827120421					0.0003931557144499		0.0	0.0064595389359762											0.334559969345288	0.0058692907669423		0.0124620054503848												0.0043687295367763	0.0007838307024325			0.0021040081283103	
B03_contig-120_2									0.0043619227527952																																																																																		
B03_contig-120_3			0.0				0.0		0.0044185195981741				0.0																																																																														
B03_contig-120_4				0.0	0.0089082612148829				0.3972052292133968					0.2086286847032798	0.0	0.0005791514741189	1.3931109586111503																					0.0590863377432483					0.5936981825818879												0.0400642507734649		0.0							0.0	0.0								0.6974309315887253					0.0005745688980048												0.0	
B03_contig-120_6		0.0							0.247910894946757					0.0			0.0007118171724375									0.0492310865769991								0.0			0.0									5.953469486625199	5.414848282343639			0.0									0.0	0.0	0.0	0.0	0.0	0.0012408860032719	0.0						45.24036028851086	0.0628669867897892										0.0	0.0							0.027260601065518	
B03_contig-120_7	0.0							0.0	0.3736400789709638															0.0							0.0	0.0						0.0006894199096856																						0.0				0.0							0.002218195181283	1.0598512581790231							0.0								0.0		0.0		
B03_contig-120_11				0.008024461356479			0.0125006768092999		0.2726622464836855																																																																																		
B03_contig-120_12			0.007984404783846	0.0042097022393468					6.7676642959152495												0.0166495231347431							0.1466909438120999		0.0250322249028662		0.0078156845123577				0.2002027534171706										0.0008336552070596	0.0	0.0	0.0067613460351028											0.0198924159054213					0.5860466677094216		0.5096808476004164															0.0057889276875558				0.2067506598726143	0.0				
B03_contig-120_21						0.0140107752089553			6.557440478314681									35.114502734262615					0.0477385567522964	0.0070090584590849						0.0049915893000013			0.02019159624757				0.0119326251676644		0.0063680917257995							5.82479522274405	6.794558696651981										0.0034010042139593	0.0035841933820201						0.0595193622128178	0.0122342118648448																					0.0194685101516144		0.0156913359861161		0.8366843232222915	
B03_contig-120_22	0.0				0.0	0.0035460996969971	0.0022340915071559	0.0127849371596928	1.6468265639227282	0.0	0.0	0.0037710069251095		0.0085881672175982	0.0	0.00287791065322	0.291746020525719			0.0	0.0024308432565202					0.0023394663199353		0.0268860475150904		0.0		0.0177503819802325	0.0022713126073814	0.0	0.0	0.0011559790849001			0.0	0.0			0.0		0.0061802618847822	0.01022400162715	0.0057635172714331	0.0006292514488343		0.0	0.0				0.0		0.0	0.0	0.2336537410523006	0.0	0.0		0.0		0.0	0.0			0.0		0.7557499665992813	0.0144978982825048	0.0	0.0				0.0	0.0	0.0	0.0		0.0011313443737887	0.0		0.0	0.026314201830704	0.0016433571021217		0.0	
B03_contig-120_23	0.0	0.0						0.0	0.0709076297210291		0.0	0.0								0.0		0.0				0.0	0.0																0.0			0.0	0.0		0.0	0.0				0.0			0.0			0.0		0.0	0.0		0.0		0.0		0.0						0.0			0.0				0.0			0.0	0.0	0.0			0.0	
B03_contig-120_24									0.0			0.0026067248892577								0.0																0.0	0.0									0.0	0.0																	0.0		0.0					0.0	0.0												0.0		0.0	0.0				
B03_contig-120_26									0.5001613417098361	0.0163967138827056	0.0151824343314305			0.0117726680521561			0.1156307005769799															0.0				0.0012324800944612		0.0	0.0027494638029489												0.0037741764021344									0.0402097658153442		0.0	0.0151644505002825		0.0	0.0012132376143503																		0.0169725020565822				0.0005840373593009			
B03_contig-120_31									2.7336055583093763												0.9628993966752664																																				0.0025014061999161					0.0619974383611344	0.0090413457601286																								0.0997405814890751				
B03_contig-120_33									12.369988556361282																																																			0.1066880875831701																															
B03_contig-120_36									5.242545961909757																																																																													0.8706678501712224					
B03_contig-120_37		3.9959163391694816							19.780921165068484											21.96781793213481																										0.00128238235387	0.0117111417287767	0.0														0.0851943142410976		0.0112329073376746										0.0429924296009887												0.0876892790754142					
B03_contig-120_40									0.0124297234161484																																											0.0												0.0								0.0								0.0									0.0		
B03_contig-120_41	0.0			0.0203459471001725	0.0				0.0300266608710389	0.0			0.0006653406244024					0.0			0.0111247395633463	0.0075951853132454												0.0111519957403803			0.0055286317417887	0.0		0.0050944091100655		0.0			0.0014141965697923								0.0				0.0052525183651417		0.0	0.0	0.0255996097417252		0.0	0.0132822832816422	0.0013496102592156				0.2120219217254668											0.0199473407082373			0.0		0.0	0.0	0.0058904406503798	0.0	0.0	0.0	
B03_contig-120_42		0.1854773938557456							0.3985525629339297																																																																	0.0																	
B03_contig-120_45								0.0411802914138197	0.0193720864830522		0.0	0.0014845619443136			0.0752264651153261			0.0								0.0	0.0195128372756559	0.138057935303153	0.0		0.0	0.0209637972893294													0.0058392774867302	0.0	0.0									0.0056812522411485	0.0	0.0099995218730901		0.0793393671628338						0.0362862377303953	0.0				0.093070994358941			0.0349095013376158	0.0092407954155468			0.0				0.0	0.0			0.0		0.0543440780955766	0.1020865789898042	0.0	0.0
B03_contig-120_48									18.514069284059467	0.0215870128806871																																				0.0013819621971256	0.0028045639873159																		0.0014350043855618															0.1033961774191094			0.001376298334225								
B03_contig-120_53		0.0							6.112153026680182	0.0						0.0																																																																											
B03_contig-120_58									7.286578383715513																																																																																		
B03_contig-120_61									0.0239909028018174																																																																																		
B03_contig-120_161									15.498751614693251																					7.183616692965082																							2.9784014917480817																												19.04104375037218										
B03_contig-120_181									333.96957261224145																																																																														0.107608103807864				
B03_contig_12_pilon									24.18077247056988																																																			0.0933480966029225	0.0069348710951956																														
B03_contig_13_pilon		0.012564274766156		0.0650280075358509		0.20023550414316			106.16324876301174		0.040538241265631		0.1180042727620435	0.0831958637873941			0.055991179156796				3.315827215104218	0.1450980239487428											0.0681464398934661	0.0	0.0272325905028809		0.004946046080367					0.0298732483365693			0.0159728223565248					0.0002930406790012		0.2236470628222176				0.0590848953121748		0.0475095301698597	0.0	0.6031634729658147	0.0144644353633816	0.0038623789697791	0.039125384103855	0.0130143288122601	0.0003018483977763			0.0679456966699755						0.0600733034148529	0.426747808582552	8.02771873758327	1.9383286389404264		0.088741299390749	0.0573003603571235	0.226762171903066	0.0005767338247589	0.0060794952794466	0.0731828077054535					0.0874286882175732		
B03_contig_14_pilon			0.0				0.0035142734351191		0.0009829228589631												0.0018208419617133										0.0	0.0021273697682878																			0.0					0.0005404908920348		0.0005436075677585											0.0049314351947078			0.0497574593628565	0.0016475159924669		0.0																
B03_contig_30_pilon		0.7551651682268387							75.88632006598387				0.4737232754056372										0.0201507880142087			0.5882647499659693						0.1617876012164483					0.1651633023426401		0.3904450836625669	0.1452837699915883				0.2323143241405469																		0.4084252973135458		0.228119043341236			0.5786618001433829						0.2962692074905645					0.7225572127297548										0.3003509288892075			
B03_contig_32_pilon									0.1556686960008988																												0.5170295679908568																																																						
B03_contig_37_pilon									82.76704785077742																																																																																		
B03_contig_38_pilon			0.0	0.0					0.6186178759849792												0.0							0.0181426685634697		0.0088235261281154		0.0				0.0										0.0	0.0017890382896968	0.000488310732316	0.0											0.001829168311687					0.0512619990068986																	0.0					0.0				
B03_contig_50_pilon	0.0038567707722117	0.0						0.0	0.1582502267963534				0.0040721348419231			0.0053739924700818											0.0057132622758059									0.0047219108674513														0.0080190979274477														0.0019355373540555					0.0											0.0											
B03_contig_57_pilon									1.354361671784396																																																																																		
B03_contig_58_pilon		54.979642180654274	0.0027057415690309	0.0142657676440557			0.0213901347986445		89.64481419143806				0.0104125108464518					0.0055458070027588				0.0090798775771815	0.0044280684539972				172.99492623032944	0.0098839349206416		0.1143617623307181		0.2189481168147107						0.0038942405584503						0.0171696237798803	0.0043034498284418	0.0192105211866243	0.0120397846606033			0.0273399408057178	0.0325721042398346	0.0868880540344781			27.558959874808608		0.0331088812679593			0.0577390572591521	0.3362022075349711	0.0196344558208034	0.0011790366904559	0.1765214135290399	0.1478488110151184						1.156903743317469			9.903192575165573	0.0364143193891292	0.3942803524599945	0.004181489804062		0.0192893738756558	1.7781982479101837	12.91809292922696		0.3196134059281654					41.03913808406862			
B03_contig_60_pilon	0.0	0.0510036627402286						0.0	5.026438530825064	0.0068181669513992	0.03647649145178			0.0			0.0				1.0966790481310722					0.0061799127436508				0.0				0.0				0.0							0.0						0.0				0.0302556216724708		0.0		0.0109015052445317	0.0	0.0016968011484673		0.0				0.0					0.0		0.0016380688814858	0.0				0.0	0.0	0.0								0.0		
B03_contig_63_pilon	0.0							0.0	0.0			0.0	0.0		0.0						0.0										0.0												0.0				0.0																0.0			0.0				0.0					0.0													0.0	0.0	0.0	
B03_contig_65_pilon									0.0012693962624116																																																												0.0042458031149332																						
B03_contig_66_pilon	0.0							0.0	0.2419426899420065															0.0							0.0	0.0						0.0013808925703924																						0.0				0.0							0.0	0.0							0.0								0.0006557898245765		0.0		
B03_contig_67_pilon									0.0			0.0								0.0																0.0	0.0									0.0	0.0																	0.0		0.0					0.0	0.0												0.0		0.0	0.0				
B03_contig_68_pilon			0.0			0.0			1.216193739163561				0.0		0.0	0.0					0.0									0.0006576647966564		0.0	0.0	0.0		0.0												0.0	0.0		0.0		0.0				0.0002987319415882		0.0		0.0	0.0	0.0	0.0	0.0											0.0		0.0		0.0		0.0	0.0	0.0	0.0		0.0		0.0	0.0011626842359941	
B03_contig_69_pilon	0.0			0.0				0.0	2.59858647737742				0.0								0.0		0.0					0.0						0.0										0.0															0.0		0.0									0.0				0.0			0.0														
B03_contig_72_pilon		0.0							0.0127888351266527	0.0						0.0																																																																											
B03_utg00000002_pilon		0.0	0.0	0.0		0.0012349008625871			66.89603995362297		0.0015496822128138		0.0								1.132222807853936	0.0											0.0094915974317431	0.0	0.0		0.0					0.0			0.0					0.0005982006962227	0.0203403000129383	0.0				0.0332943172507375		0.0167431524634158	0.0	1.19679647206176	0.0086120647339727	0.0024259984829752	0.0006191386359889	0.0	0.0	0.0534971751332906		0.0113347410258136						0.0035631303540458	1.0054364504234987	0.0279334874706182	0.0006273697634797	0.0262489740575216	0.0146801206898905	0.0011383990505544	0.0006007820757957	0.0011773197382761	0.0	0.001146965454813			0.000597633284496		0.0018304941647269		0.0024235068958584
B03_utg00000007_pilon	0.6578560538247147	0.0889594194932225	0.0901848323426538					0.0494859257483295	4005.811557835129										0.0109699353466234	93.17237724585088		0.6016228410104009		0.0058924759347207				0.1689031471662961	1.899206814302261	0.0097280204667621	0.7241409720564915	0.011523989055633		0.0309047804351149	0.0322311067131821	1.301402620630259	0.0065661975564446	0.0010912029153851	0.0163528720177625		1.565399090114564	0.0129092411283783		49.62854711278136	0.0677438972151989					0.0591326424760379	0.0285938554824044	0.0228801740107485	685.4116075846853		35.278934162924074		157.22430775835187		1.59989097707135	21.1074722055027	0.9787929664877012	145.6692195498583	11.52752110241449		0.0219062104334961	0.054892558051278						10.873406603477502		0.2175618260037126	0.0326555283404414	0.0255523308737028	98.79969473173712		0.0351329186025922			3.359424124019736	0.0169105095607207						0.0349193821583125	0.0758741792459999	
B03_NODE_1	0.0009991971929471	0.0						0.0021085519478051	0.0889410626421328								0.0															0.0		0.0				0.0018210620141136	0.0011695976051491					0.0		0.0006869664669713	0.0003485336678833												0.0048444343895309		0.0016023098195455		0.001971084877881	0.0					0.0																						
B03_NODE_3	0.0050129842775559					0.230860272398809			6.24996017043787												0.5852332145115741					0.0350450094072393		0.2828343105931818		0.0275491214723531				0.0269627845392638																									0.0253172763759188	0.1564342918191474									0.080449955738245																						
B03_NODE_5									0.020849246993482																																																																																		
B03_NODE_6			0.0				0.0		0.0279905960002985				0.0																																																																														
B03_NODE_7			0.0				0.0		10.278975441480624												1.4266704010468303										0.0	0.0																			0.0005309444736542					0.0		0.0											0.0			0.0124540257671071	0.937441815781638		0.0																
B03_NODE_9			0.0072145736811373	0.1939946180065974		0.0100774429854135			514.761283454217														0.4406532163767173																									0.3695677511813552												0.0195374477865641	0.0610757931302796			44.89249933883551																						9.151917563069482					
B03_NODE_11	0.0	0.3611648749825881						0.0005578410171729	5.332380496773188	0.0323640539157824	0.0370209974878947			0.0			0.0				1.002200583608014					0.0185270073156045				0.0				0.0				0.0							0.0						0.0002831688901937				0.0308053144501252		0.0		0.0	0.0	0.0		0.0				0.0					0.0		0.0	0.0				0.0	0.0	0.0011040254444475								0.0		
B03_NODE_12				0.0	0.0				0.4204825017393465					0.3564461192266728	0.0047980446116311	0.00059616417658	2.839492228933386																					0.0084215093488622					0.1002266644419559												0.0172351062040865		0.0023775149242697							0.0	0.0								0.7270938025577727					0.0053230228765244												0.0011566804291968	
B03_NODE_13			0.0			0.0			0.320663995891681				0.0		0.0	0.0					0.0									0.0		0.0	0.0	0.0		0.0												0.0	0.0		0.0		0.0				0.0		0.0		0.0	0.0	0.0	0.0	0.0											0.0		0.0		0.0		0.4372787565620404	0.0	0.0	0.0		0.0		0.0	0.0	
B03_NODE_15									3.056802026531826																																																																																		
B03_NODE_16	0.0025686730760262							0.0013551330648144	0.6935820117017386															0.0							0.0	0.0						0.0393243587821747																						0.0				0.0657440932103623							0.0007531271505717	0.2773739038605273							0.0								0.0233440628368539		0.0		
B03_NODE_17									2.282899291483784		0.0262570520264793							0.2243788940127041			7.276915878835239					0.0699521092570209			0.7973817601605488		0.01492192294291															0.1644022583848113	0.1733682624789753										0.0573106284703305										0.057451490295508											0.0751266361400693				0.0387501934798647	0.0382258614975878			0.0870142342357806				0.0407379022570545	0.2008049607617807
B03_NODE_22									414.1374729902389																																																				0.0567194570650539																0.0659180001800351														
B03_NODE_27		0.156196629264173							125.57638590574456		1.062918822542933	0.3471987299325531				0.6561183040076437		0.9894524612026644			2.051583478230838	93.63549972643897				1.456487107843452			0.3765750077404403					14.889793279415889			0.583670661463147							1.3596626751019574		1.6814437435533158	1.9714921314600893				0.1350246354295781		0.2044452854515399			0.7197074309645085		0.5334803535012821	0.2048822041899198				1.6509511093868336			1.6793125897051029	8.530051676797344				40.30620590026678				0.2567922172686346						0.9363925772340544			0.2632914522041158		3.127670416788439					
B03_NODE_32	0.0022297425890628			0.0011611684641481	0.2485032518965279			0.042347749785653	12.329061181026974							0.0093207146015882					0.01230123981713					0.0556424936044824		0.0082816923047276						0.0464240130994766					0.0065249922904976										0.0110733911176129								0.0034848000361126		0.0256749860457413	0.0441342018744623	0.0083430875957645		0.0035988079747713	0.0083925458485013	0.0226835483499452		0.025165928957646				4.0617721131690265			0.001150614847783						1.3184498740438233				0.0155559984465761		0.0205348974233323	0.0162110940765149				
B03_NODE_33	0.0				0.0035866584366168	0.0	0.0	0.0	2.3899910866397014	0.0	0.0	0.0		0.0024851602391669	0.0	0.0011658944830094	0.0334019946340467	0.0609815741282273		0.7357556285934344	0.0008206493886651					0.0011847009880879		0.0		0.0		0.0	0.0	0.0058070119154398	0.0012755596900868	0.0046830836671438			0.0	0.0			0.0		0.0025037376427787	0.0023010727278903	0.0	0.0		0.0011598356447741	0.001195068920057				0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.009557568109714	0.0			0.0012347704349216		0.0039252332982983	0.0	0.0160881881990328	0.0				0.0	0.0	0.2196176009358642	0.0		0.0	0.0088952849852341		0.0023484672533288	0.0	0.0		0.0	
B03_NODE_34									3.5812910011504075																																																																																		
B03_NODE_35	0.0	0.0005884983451831						0.0	0.0		0.0	0.0								0.0		0.0				0.0	0.0																0.0			0.0	0.0		0.0	0.0				0.0			0.0			0.0		0.0	0.0		0.0		0.0		0.0						0.0			0.0				0.0			0.0	0.0	0.0			0.0	
B03_NODE_36									0.0			0.0								0.0																0.0	0.0									0.0	0.0																	0.0		0.0					0.0	0.0												0.0		0.0	0.0				
B03_NODE_39									5.548351397363862																																																				2.742747979057889			0.3734388112065491									0.8195536747001972														0.050138121367281				
B03_NODE_40			0.0629674974669359						2.604670884920218			0.067358789452783									0.0499334691541303	0.0065217643478574													0.0472427397378475																																				0.3108327780562155																				
B03_NODE_42	0.0334704249540478	0.2032168873174418						0.0050450594758095	0.9392348479593424				0.0498538398102847			0.0968142726964569											0.1128869445323691									0.1060002945313169														0.0354176505892253														0.0263957253875199					0.0297678300725784											0.0070948587653172											
B03_NODE_44					0.0296583910831485				7.595397420958397							0.0144613245796255																		0.190404534534387				0.003947496730772										0.6427006961990209									0.0319703800187305		0.0058340160140078		0.0694661985733478								8.227826259785875			0.0554301467106916											0.0098868454128336							0.0134190087056226	
B03_NODE_47									0.1357186485760582																																											0.0												0.006181219902103								0.0								0.0									0.0		
B03_NODE_51	0.0			0.0	0.0				0.0250398737541914	0.0			0.0					0.0			0.0	0.0												0.0			0.0	0.0041374055349615		0.0		0.0			0.0								0.0012711756171917				0.0		0.0	0.0	0.0		0.0	0.0	0.0				0.0027917306605032											0.0012475885061228			0.0006476555226678		0.0	0.0	0.0	0.0	0.0040121317376821	0.0	
B03_NODE_54									0.3570470239055476																																																												0.0254995774586269																						
B03_NODE_55		0.1082991918328308							0.2226962926831615																																																																	0.0																	
B03_NODE_57									1.6030459138150035																																																																																		
B03_NODE_60		0.0391282446256854							5.926911448969555			0.0267353200272946		0.0130473336377662		0.0	0.1176585707046342					0.0045757160897674				0.0711821067275623	0.0021691644178578									0.0157081349457625			0.028947994484303						0.0029210815152479	0.0281886645814174	0.0231549220187144						0.0		0.0639021629481805		0.0908628369269332			0.0208890983135547	0.034787534794354								0.1145270854246477															0.0064862657979991				0.0194181902945705			
B03_NODE_62									2.7367699352957247																																																							0.1361528705607067	0.135292950211354						0.2846434769325838																0.0117407918186863				
B03_NODE_63									10.488061620413925																							1.0416286632162604																																																											
B03_NODE_66	0.0163873029301891		0.354068437765221					0.1613791273610059	7.832245168591581																		0.0091033047946314															0.1195874296932441		0.101026436308437		0.0133790548211751	0.0471579548137624	0.404089356415052														0.7643214900466079					0.0210175963488225																							0.4831741247611216	
B03_NODE_71		0.6214781326196728							2.5306831555644886	0.5452258047163607																0.1750964777253253	0.0064279154298431				0.0553867134328401																								0.0265315139899054									0.0225023558928607										0.0395584876418056																	
B03_NODE_74	0.0			0.0				0.0	0.0				0.0								0.0		0.0					0.0						0.0										0.0															0.0		0.0									0.0				0.0			0.0														
B03_NODE_83									0.0256100839085011																																																																																		
B03_NODE_149	0.0							0.0	0.0518043394390026			0.0	0.0		0.0						0.0										0.0099336091332517												0.0				0.0																0.0			0.0				0.0					0.0													0.0	0.0	0.0	
B03_NODE_190									16.78361827767773																																																																																		
B03_NODE_552									2.750728734164798																																																																																		
B13_contig-120_1		0.0								0.0																																																		0.0																				0.0											
B13_contig-120_3		0.0	0.0				0.0			0.0				0.0	0.0		0.0				0.0													0.0						0.0		0.0				0.0	0.0	0.0			0.0				0.0				0.0		0.0				0.0									0.0										0.0							
B13_contig-120_6										0.2295469782370126												0.0																					0.0										0.0325778328414301			0.0	0.0	0.0																0.0	0.0					0.0											
B13_contig-120_7	0.0	0.0038456595306034			0.0			0.0		0.0322054438342816										1.921156139881321				0.0			0.0			0.0010637091661014		0.0009963495399324						0.0003380660930511						0.0								0.0					0.0			0.0	0.0		0.0						0.0020530028355816								0.0006741479114999						0.0			0.0449040668864076					0.0006510523009933
B13_contig-120_12										0.0403657287211127		0.0		0.0														0.0				0.0																	0.0		0.0	0.0								0.0		0.0	0.0											0.0	0.0																
B13_contig-120_13										0.0573748657978571																																										0.0058891987790234																				0.0282732028788112	0.0786367828622231													0.002162705426902	0.0074695633635183				
B13_contig-120_19										0.0227225074027438																																																																																	
B13_contig-120_23										8.460128205397965				0.0361459938024036			0.3553524006013027				0.6370122404483208					0.5713490010335905											0.3434237434557088									0.2143157691649009																		0.0388599564045443			1.6690197009794503			1.8227325760728328																					
B13_contig-120_26										1.9962406087089333				0.0944298464262167			0.8827111773079735		0.0											0.0				0.0		0.0	0.0		0.0	0.0					0.0																										0.0	0.0	0.0											0.0		0.0	0.0				
B13_contig-120_29									0.0	0.0												0.0															0.0																				0.0			0.0			0.0	0.0																				0.0							
B13_contig-120_30								0.0		1.362593636270937						0.0																																														0.0043460357112827														0.0	0.0														
B13_contig-120_31										0.2569591412122799																																																																																	
B13_contig-120_33										0.0																		0.0												0.0								0.0													0.0																														
B13_contig-120_41										0.2730921751792012																																																																																	
B13_contig-120_45										0.0																	0.0																																																																
B13_contig-120_46		0.1813363453233398	0.0085083080064092		0.009941232326601					1.4780373089872143								0.0107316938772873																								0.043519985196836											0.0173646096881928								0.0368362620109748																										0.0041293242554163				
B13_contig-120_48										13.510763113956308																																																																																	
B13_contig-120_49									0.0	0.0																																				0.0	0.0																		0.0															0.0			0.0								
B13_contig-120_56		4.23604764518361				0.0007882534906547				13.366264641540416																				0.0016849764403296					0.0285557762395664																																					0.0140626951358034								0.0				0.1412997701320544		0.0139168608567464				0.0089365991086326	
B13_contig-120_58										2.877196722470472																																																																																	
B13_contig-120_60										0.5818946465527259																								0.0																									0.0	0.0		0.0				0.0																									
B13_contig-120_66							0.1312960071198592		0.1010453511381829	1.2024572897295096		0.0371688820813293																						0.0161063746609171				0.2439841333104978													0.2084742098051419						0.0585419529253207		0.5270591773896838	0.2674689890166348		0.009441353089269	0.1305525008176153					0.0582529753760456							0.2346663615218132						0.306927067492493			0.0275937217113709							
B13_contig-120_179										42.5576933164977				2.2561873392888394			26.538653276388867													0.0042012177912011																					0.007847811684368																																								
B13_contig-120_216										8.652388082305215																																																																																	
B13_contig-120_433										0.1341817886739831																																																																																	
B13_contig-120_439										0.3165392937343572																																																																																	
B13_contig-120_620										0.3531060669662247																																																																																	
B13_contig_101_pilon										235.495336977514																																																																																	
B13_contig_103_pilon										1.305713489876141				0.0			0.0		0.0											0.0				0.0		0.0	0.0		0.0	0.0					0.0																										0.0	0.0	0.0											0.0		0.0	0.0				
B13_contig_104_pilon										0.3003120705720935																								0.0																									0.0	0.0		0.0				0.0																									
B13_contig_31_pilon									0.0	0.0293365221391364																																				0.0	0.0																		0.0															0.0			0.0								
B13_contig_38_pilon		0.0209972906602477								0.1018320906648096																																																		0.0																				0.0											
B13_contig_40_pilon				0.0008504714003906		0.0008762259139036			0.0016212100744682	2.925033740957512							0.0																																											0.0									0.0				0.0090579150421241							0.0072697760671446		0.0		0.4044741075989851							
B13_contig_63_pilon										0.1364269028974162																																																																																	
B13_contig_64_pilon										1.90917603134462																				0.267097449067521		0.0042903912888547																													0.0																														
B13_contig_65_pilon										0.2833295326334009																																																											0.1160936423663078																						
B13_contig_73_pilon		2.604099926853953			0.0442166904801903	0.0023719325319333				24.897500732339477	0.0257967490666436					78.10073371413732							0.0199918833246859									0.1408924874948859													11.60877258993518						0.114443306061484				160.0878669681716		56.95532980589888			0.011824812889165		0.045044057666812		2.949287253980342		0.0274012149821431		0.0080209586714642				0.182487910675009			0.0018691341225715					0.0222301988324784	10.135147827195713										17.128643722401787
B13_contig_79_pilon										3.0939267072929413				0.0			0.0											0.0														0.0	0.0																					0.0																						0.0	0.0107969251974913				
B13_contig_81_pilon										799.8399469846224													136.27438175518728																																		22.13114369666206																																		
B13_contig_85_pilon										0.0967360391579933		0.0		0.0														0.0				0.0																	0.0020698004889692		0.0	0.0								0.0		0.0	0.0											0.0040863110348014	0.0																
B13_contig_86_pilon	0.0	0.3165540450253949						0.0	0.0	6.231723518106274	0.0		0.0			0.0				2.9538662336266204							0.0											0.0		0.0					0.0																0.0	0.0	0.0	0.0		0.0010693656266976											0.0					0.0	0.0	0.0					0.0		
B13_contig_88_pilon		0.0009969566923568	0.0				0.0			0.0671363332813251				0.0	0.0		0.0				0.2018593841204573													0.0						0.0		0.0306259904666902				0.0	0.0	0.0			0.0				0.0				0.0		0.0				0.0									0.0										0.0							
B13_contig_89_pilon										0.0482828607815765																																																						0.0																											
B13_contig_90_pilon										28.736246646873425																																																																																	
B13_contig_91_pilon			0.0306909115708036				0.0187718227026282			0.8463251261470857		0.1146719277765132					0.0746071810548896									0.0014040877413842				0.0030329486889159						0.0548093331531823		0.0759091867175926										0.0287022053235423												0.0169761936338157			0.0270318980898719		0.0184071378155704																					0.0125251380016436					
B13_contig_92_pilon	0.006821613765286	10.934965031901836						0.0249149139701403	0.12762329166727	144.50735084534242	6.829266771170806			0.0058444469031031			0.0042297637457931				10.224503551783044					5.182716003721022				0.0012036454612127				0.0131103103050522				0.0022952423357352													0.0227649652460332				0.9149759459713018		0.1815155066077802		1.3604620773453182	0.0078599653111396	0.0089756887996182		1.5803721162446311				0.0145369430871906					16.19749238228247		0.0143514204630968	0.0316815921170227				0.0107099678470204	0.0010381571008569	0.0432825273723995								0.0116851675164697		
B13_contig_93_pilon									0.1576189480339005	7.225202899655876				0.0031720725588592		0.0788721778994525	0.0016397882506413										0.0							0.0163066261411951				0.0																					0.0103561088388879					0.0100050494504653														0.2472935119994703													
B13_contig_94_pilon										0.4841194643757424							0.0818809197594949											0.007830537130403												0.2870389437018502								0.0252911106689601													0.0265343409127662																														
B13_contig_98_pilon									0.0	0.0												0.0															0.0																				0.0			0.0			0.0	0.0																				0.0							
B13_contig_99_pilon										3.3063428180891763				0.0057376396201171			0.0234161548978252	0.0																								0.0016188547966273																					0.0																												
B13_utg00000002_pilon	0.0	0.0689163520837051						0.0	0.0009999670206916	30.901028917659268	0.0005425790458406		0.0			0.0				0.0							0.0											0.0		0.0040717743116539					0.0																0.0	0.0	0.0	0.0		0.0015608816439363											0.0					0.0	0.0	0.0010039468365495					0.0005340814227921		
B13_NODE_1					0.2044220964547002	0.0046390172767437			0.0064373993841241	7.293691298428965	0.0017464566046974					0.4020903108192132					6.263875448856979	0.0199470133552436												0.0180018466703516				0.0011818541944603			0.001801747121386	0.0037642961908701									0.2816178403527082	0.0082603120047083	2.00138607823099		0.0				0.0006549995573418		0.0115542869818592	0.0383051111546872	0.0005814626331694	0.0031187796729448		0.0039076916359432					0.0278856815372902			0.0013942940492641		0.0005765641941937	0.012814945090335					0.0787794960865137		0.0107716998220385		0.0480613083550293	0.124320403833262				
B13_NODE_2										8.481700500950891																																																																																	
B13_NODE_3		0.0								0.7123816839831789																																																		0.0009416760749174																				0.0002902156119136											
B13_NODE_4		0.0	0.0				0.0			0.0				0.0	0.0		0.0				0.0													0.0						0.0		0.0				0.0	0.0	0.0			0.0				0.0				0.0		0.0				0.0									0.0										0.0							
B13_NODE_5										0.1742058274032949																				0.0		0.0																													0.0																														
