	A01	A02	A08	A09	A107	A11	A13	A16	B03	B13	DC05	DC13	DC16	DC23	DC25	DC26	DC27	H01	H02	H03	H04	H11	H12	H13	H16	H19	H22	H23	H24	H27	H28	H31	H32	H34	H46	H47	H48	H49	H50	H54	H60	H63	H65	H69	H73	NC150	NC151	NC152	NC159	NC173	NC183	NC185	NC201	NC210	NC307	NC308	NC317	NC318	NC326	NCF004	NCF026	NCF041	NCF044	NCF051	NCF055	NCF106	NCF168	NCF171	NN0897	QM01	QM03	QM04	QM07	S02	S05	S08	S11	SK02	SK03	SK08	SK11	SK12	SK14	SK20	SK22	SK27	SK43	SK44	SK51	SK54	SK56
A01_contig-120_249	0.6634897118284756							0.0875079097311514																																																															0.4965715128251705																				
A01_contig_117_pilon	0.0208842435145297							0.0009580628861855																																																																							0.012741131792062			0.052019736619847							0.073177299553999		
A01_contig_136_pilon	4.630888235266053							0.7081041971735283																																																						1.0115534052830548									1.5300717210888228																				
A01_contig_154_pilon	0.2195726237361875							0.0458300138420526																										0.0																									0.0																														0.0007253456869499		
A01_contig_180_pilon	8.782152247530114							0.882158076987317														0.7017676010258189												17.43692881151708																									0.0817610276514252																																
A01_contig_187_pilon	20.205309364473887							0.6642967778799653																																																																																			
A01_contig_212_pilon	0.0464737557687432							0.0061294412741852																																																																																			
A01_contig_227_pilon	0.0							0.0																				0.0																																			0.0																												
A01_contig_230_pilon	5.004410627503121		0.094761212385738					0.8661437483708567								0.2753656029315587																		0.0597843448070474				0.0022164433123556																			0.0168948254477869		0.0622380628905541																												0.0750851283828792				
A01_contig_236_pilon	0.2162120227881805			0.0009344010036596		0.0		0.0984462642807002		0.0009634818051403	0.0164300595752374						0.0	0.0								0.0004763397175093					0.0			0.0					0.0						0.0060401554154367	0.0	0.0										0.0	0.0	0.0	0.0604716984106814			0.0	0.0	0.0038428678115694		0.0009205096575364									0.0009571970267319			0.0054932383710415		0.0009367086793514					0.0009442620874623			3.77110232837048	0.00636667737559	
A01_contig_252_pilon	0.3276664372375554	0.0		0.0030380422677126	0.0	0.0		0.0759166231521338				0.0099856843633255	0.0			0.0	0.0	0.0				0.0019531853769026		0.0		0.0	0.0				0.0	0.0062671046152274		0.0141705937986019		0.0	0.0					0.0		0.0019980592153269		0.0	0.0050872941399185	0.0			0.0062491579665347		0.0		0.0		0.0		0.0011785118125866	0.0	0.0020789118926123			0.0029277301050562	0.0	0.0005022097999135				0.0		0.0186136522354727	0.0733415356276657		0.0											0.0		0.0367471390986067			0.0
A01_contig_272_pilon	0.0							0.0																			0.0							0.0			0.0																						0.0					0.0										0.0																0.0	
A01_contig_273_pilon	40.78895618128204							2.26696378095708													0.0																							0.0032408907499766		0.0070478359081082	0.0033006758546492													0.0011249045022764							0.0032363362818349				0.013563725206032															0.0331984529243759					
